,params,rank_test_roc_auc,rank_test_accuracy,rank_test_average_precision
2228,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 6}",654,848,670
2229,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 7}",486,505,279
2230,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 8}",345,820,84
2231,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 9}",368,691,158
2232,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 1}",8297,7446,8435
2233,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 2}",4616,3513,5078
2234,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 3}",2949,1202,3360
2235,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 4}",1193,977,1606
2236,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 5}",937,790,888
2237,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 6}",654,848,670
2238,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 7}",486,505,279
2239,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 8}",345,820,84
2240,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 9}",368,691,158
2241,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 1}",8297,7446,8435
2242,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 2}",4616,3513,5078
2243,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 3}",2949,1202,3360
2244,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 4}",1193,977,1606
2245,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 5}",937,790,888
2246,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 6}",654,848,670
2247,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 7}",486,505,279
2248,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 8}",345,820,84
2249,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 9}",368,691,158
2250,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 1}",8297,7446,8435
2251,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 2}",4616,3513,5078
2252,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 3}",2949,1202,3360
2253,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 4}",1193,977,1606
2254,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 5}",937,790,888
2255,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 6}",654,848,670
2256,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 7}",486,505,279
2257,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 8}",345,820,84
2258,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 9}",368,691,158
2259,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 1}",8297,7446,8435
2260,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 2}",4616,3513,5078
2261,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 3}",2949,1202,3360
2262,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 4}",1193,977,1606
2263,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 5}",937,790,888
2264,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 6}",654,848,670
2265,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 7}",486,505,279
2266,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 8}",345,820,84
2267,"{'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 9}",368,691,158
2268,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 1}",9573,9632,9697
2269,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 2}",8562,8477,7774
2270,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 3}",5971,7210,5616
2271,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 4}",4862,5647,4709
2272,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 5}",3976,4108,3968
2273,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 6}",3722,4025,3506
2274,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 7}",2220,2463,1926
2275,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 8}",1599,1825,1420
2276,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 9}",1006,2034,1014
2277,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 1}",9575,9662,9679
2278,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 2}",8578,8439,7776
2279,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 3}",6133,7313,5646
2280,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 4}",4922,5837,4810
2281,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 5}",4060,4012,4064
2282,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 6}",3784,4262,3620
2283,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 7}",2344,2376,2185
2284,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 8}",1777,2129,1683
2285,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 9}",1079,1951,1225
2286,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 1}",9569,9664,9610
2287,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 2}",8517,8455,7700
2288,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 3}",6393,7329,5687
2289,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 4}",5034,5899,4851
2290,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 5}",4177,3823,4158
2291,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 6}",3854,3732,3674
2292,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 7}",2433,2237,2172
2293,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 8}",2222,2194,1981
2294,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 9}",1182,1710,1326
2295,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 1}",9577,9670,9590
2296,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 2}",8515,8417,7623
2297,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 3}",6395,7428,5666
2298,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 4}",5075,6286,4812
2299,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 5}",4279,4067,4186
2300,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 6}",4031,4436,3874
2301,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 7}",2723,2735,2499
2302,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 8}",2546,2421,2148
2303,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 9}",1819,1916,1671
2304,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 1}",9593,9877,9582
2305,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 2}",8498,8369,7479
2306,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 3}",6448,7415,5648
2307,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 4}",5103,6509,4824
2308,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 5}",4213,4099,4156
2309,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 6}",3998,4431,3854
2310,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 7}",2603,2570,2430
2311,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 8}",2605,2250,2382
2312,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 9}",2052,1863,1952
2313,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 1}",9599,9893,9560
2314,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 2}",8461,8337,7213
2315,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 3}",6515,7417,5664
2316,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 4}",5171,6350,4841
2317,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 5}",4298,3764,4249
2318,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 6}",4057,4410,3790
2319,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 7}",2564,2235,2281
2320,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 8}",2374,1829,2156
2321,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 9}",1647,1900,1507
2322,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 1}",9603,9909,9568
2323,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 2}",8501,8353,7052
2324,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 3}",6714,7434,5674
2325,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 4}",5230,6569,4866
2326,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 5}",4380,4258,4311
2327,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 6}",4011,4638,3767
2328,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 7}",2431,2192,2062
2329,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 8}",2188,1821,1881
2330,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 9}",1517,1994,1529
2331,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 1}",9497,9656,9554
2332,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 2}",8430,8275,7462
2333,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 3}",6070,7242,5541
2334,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 4}",5065,6117,4769
2335,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 5}",4263,3794,4140
2336,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 6}",3815,4390,3645
2337,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 7}",2277,2608,2025
2338,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 8}",2163,1929,1812
2339,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 9}",1490,1759,1586
2340,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 1}",9497,9656,9554
2341,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 2}",8430,8275,7462
2342,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 3}",6070,7242,5541
2343,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 4}",5065,6117,4769
2344,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 5}",4263,3794,4140
2345,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 6}",3815,4390,3645
2346,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 7}",2277,2608,2025
2347,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 8}",2163,1929,1812
2348,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 9}",1490,1759,1586
2349,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 1}",9497,9656,9554
2350,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 2}",8430,8275,7462
2351,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 3}",6070,7242,5541
2352,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 4}",5065,6117,4769
2353,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 5}",4263,3794,4140
2354,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 6}",3815,4390,3645
2355,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 7}",2277,2608,2025
2356,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 8}",2163,1929,1812
2357,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 9}",1490,1759,1586
2358,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 1}",9517,9668,9532
2359,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 2}",8423,8253,7215
2360,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 3}",6083,7248,5553
2361,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 4}",4969,6215,4679
2362,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 5}",4209,4444,4028
2363,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 6}",3899,4693,3616
2364,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 7}",2497,2871,2070
2365,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 8}",2085,2535,1573
2366,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 9}",1823,2196,1604
2367,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 1}",9525,9875,9522
2368,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 2}",8285,8139,6979
2369,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 3}",6085,7240,5578
2370,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 4}",4930,6162,4674
2371,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 5}",4175,4681,3987
2372,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 6}",3825,4353,3483
2373,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 7}",2456,2643,2023
2374,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 8}",2396,2446,2064
2375,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 9}",1988,2554,1755
